canonical_instrument_id,symbol,event_date,action_type,raw_factor,cumulative_backward_factor,volume_factor,factor_confidence,source_event_id,methodology_version,review_status
NSE:HIRECT:EQ,HIRECT,2026-03-27,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-6058774a9fad5d4f,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HITECH:EQ,HITECH,2023-03-17,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-629ae80fe04d5b30,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HLEGLAS:EQ,HLEGLAS,2022-10-18,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-383d764dd5d87be5,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HMAAGRO:EQ,HMAAGRO,2023-12-29,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-1aac5a564de553da,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HNDFDS:EQ,HNDFDS,2022-07-21,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-3b462f14065d1189,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HPAL:EQ,HPAL,2023-11-09,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-a2da9083c24b80cb,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IEX:EQ,IEX,2021-12-03,BONUS,0.3333333333333333333333333333,0.3333333333333333333333333333,3,VERIFIED_OFFICIAL,nse-ca-b2b48984fab4a5bd,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IFGLEXPOR:EQ,IFGLEXPOR,2025-07-18,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-d5a0f57a2469a01a,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IGL:EQ,IGL,2025-01-31,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-0092b556bcf1b59d,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IMFA:EQ,IMFA,2022-01-07,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-4d09cc725e643028,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
